AB,C,D,E,F,G,H,I,J,K,L
0x059B150000,"0x03A3","0x0005","0x0000","0x0000","B","0x1B15","0x0000","0x0000","0x0078","0x0124","0x0B78"
0x059B160000,"0x03A4","0x0005","0x0000","0x0000","B","0x1B16","0x0000","0x0000","0x0078","0x0125","0x0B79"
0x059B170000,"0x03A5","0x0005","0x0000","0x0000","B","0x1B17","0x0000","0x0000","0x0078","0x0126","0x0B7A"
0x059B180000,"0x03A6","0x0005","0x0000","0x0000","B","0x1B18","0x0000","0x0000","0x0078","0x0127","0x0B7B"
0x059B190000,"0x03A7","0x0005","0x0000","0x0000","B","0x1B19","0x0000","0x0000","0x0078","0x0128","0x0B7C"
0x059B1A0000,"0x03A8","0x0005","0x0000","0x0000","B","0x1B1A","0x0000","0x0000","0x0078","0x0129","0x0B7D"
0x059B1B0000,"0x03A9","0x0005","0x0000","0x0000","B","0x1B1B","0x0000","0x0000","0x0078","0x012A","0x0B7E"
0x059B1C0000,"0x03AA","0x0005","0x0000","0x0000","B","0x1B1C","0x0000","0x0000","0x0078","0x012B","0x0B7F"
0x059B1D0000,"0x03AB","0x0005","0x0000","0x0000","B","0x1B1D","0x0000","0x0000","0x0078","0x012C","0x0B80"
0x059B1E0000,"0x03AC","0x0005","0x0000","0x0000","B","0x1B1E","0x0000","0x0000","0x0078","0x012D","0x0B81"
0x059B1F0000,"0x03AD","0x0005","0x0000","0x0000","B","0x1B1F","0x0000","0x0000","0x0078","0x012E","0x0B82"
0x059B200000,"0x03AE","0x0005","0x0000","0x0000","B","0x1B20","0x0000","0x0000","0x0078","0x012F","0x0B83"
0x059B210000,"0x03AF","0x0005","0x0000","0x0000","B","0x1B21","0x0000","0x0000","0x0078","0x0130","0x0B84"
0x059B220000,"0x03B0","0x0005","0x0000","0x0000","B","0x1B22","0x0000","0x0000","0x0078","0x0131","0x0B85"
0x059B230000,"0x03B1","0x0005","0x0000","0x0000","B","0x1B23","0x0000","0x0000","0x0078","0x0132","0x0B86"
0x059B240000,"0x03B2","0x0005","0x0000","0x0000","B","0x1B24","0x0000","0x0000","0x0078","0x0133","0x0B87"
0x059B250000,"0x03B3","0x0005","0x0000","0x0000","B","0x1B25","0x0000","0x0000","0x0078","0x0134","0x0B88"
0x059B260000,"0x03B4","0x0005","0x0000","0x0000","B","0x1B26","0x0000","0x0000","0x0078","0x0135","0x0B89"
0x060A140000,"0x03B5","0x0006","0x0000","0x0000","P","0x0A14","0x0000","0x0000","0x0000","0x0191","0x8071"
0x060A150000,"0x03B6","0x0006","0x0000","0x0000","P","0x0A15","0x0000","0x0000","0x0000","0x0192","0x8072"
0x060AB60000,"0x03B7","0x0006","0x0000","0x0000","P","0x0AB6","0x0000","0x0000","0x0000","0x0194","0x817A"
0x060AB70000,"0x03B8","0x0006","0x0000","0x0000","P","0x0AB7","0x0000","0x0000","0x0000","0x0195","0x817B"
0x0615AB0000,"0x03B9","0x0006","0x0000","0x0000","P","0x15AB","0x0000","0x0000","0x0000","0x0197","0x8351"
0x0615AE0000,"0x03BA","0x0006","0x0000","0x0000","P","0x15AE","0x0000","0x0000","0x0000","0x0198","0x8352"
0x0615B00000,"0x03BB","0x0006","0x0000","0x0000","P","0x15B0","0x0000","0x0000","0x0000","0x0199","0x8353"
0x0615BD0000,"0x03BC","0x0006","0x0000","0x0000","P","0x15BD","0x0000","0x0000","0x0000","0x019A","0x8356"
0x0615BE0000,"0x03BD","0x0006","0x0000","0x0000","P","0x15BE","0x0000","0x0000","0x0000","0x019B","0x8357"
